"houjin_bangou","code","name","name_full","url"
NA,"472","玉川大学出版部",NA,"http://www.tamagawa-up.jp"
"9130001005101","473","淡交社","株式会社淡交社","https://www.tankosha.co.jp"
"7010401017486","474","第一法規","第一法規株式会社","https://www.daiichihoki.co.jp"
"4011101011939","476","第三文明社","株式会社第三文明社","https://www.daisanbunmei.co.jp"
"8010001049128","477","大日本図書","大日本図書株式会社","https://www.dainippon-tosho.co.jp"
"6010001004423","479","大和書房","株式会社大和書房","http://www.daiwashobo.co.jp"
"9010501008136","480","筑摩書房","株式会社筑摩書房","https://www.chikumashobo.co.jp"
"5011001102168","484","CCCメディアハウス","株式会社CCCメディアハウス","http://www.cccmh.co.jp"
"7011001014816","485","電気書院","株式会社電気書院","https://www.denkishoin.co.jp"
"7011501003104","487","東京書籍","東京書籍株式会社","https://www.tokyo-shoseki.co.jp"
"6011101014980","488","東京創元社","株式会社東京創元社","http://www.tsogen.co.jp/np/index.html"
"1011101015091","489","東京図書","東京図書株式会社","http://www.tokyo-tosho.co.jp"
"5010001034314","490","東京堂出版","株式会社東京堂出版","http://www.tokyodoshuppan.com"
"8010001024106","491","東洋館出版社","株式会社東洋館出版社","https://www.toyokan.co.jp"
"1010001051874","492","東洋経済新報社","株式会社東洋経済新報社","https://str.toyokeizai.net"
"6010001101600","494","童心社","株式会社童心社","https://www.doshinsha.co.jp"
"3010001024382","495","同文舘出版","同文舘出版株式会社","http://www.dobunkan.co.jp"
"6010001005504","496","同友館","株式会社同友館","https://www.doyukan.co.jp"
"9010001021770","499","大日本絵画","株式会社大日本絵画","http://www.kaiga.co.jp"
NA,"901566","_日経BPラーニング",NA,NA
NA,"7751","_日経BPラーニング",NA,NA
"3010401060168","901823","日経BPコンサルティング","株式会社日経ビーピーコンサルティング","https://consult.nikkeibp.co.jp"
"3010401060168","86443","日経BPコンサルティング","株式会社日経ビーピーコンサルティング","https://consult.nikkeibp.co.jp"
"3011805002185","501","東京電機大学出版局","学校法人東京電機大学","https://www.tdupress.jp"
"1010001022710","481","中央経済社","株式会社中央経済社ホールディングス","https://www.chuokeizai.co.jp"
"1010001022710","502","中央経済社","株式会社中央経済社ホールディングス","https://www.chuokeizai.co.jp"
"5011601004953","522","永岡書店","株式会社永岡書店","https://www.nagaokashoten.co.jp"
"1010001025077","523","南雲堂","株式会社南雲堂","https://www.nanun-do.co.jp"
"4010001005687","524","南江堂","株式会社南江堂","https://www.nankodo.co.jp"
"2010001005747","525","南山堂","株式会社南山堂","https://www.nanzando.com"
"4010001025355","526","日刊工業新聞社","株式会社日刊工業新聞社","https://pub.nikkan.co.jp"
"8011101040645","528","日東書院本社","株式会社日東書院本社",NA
"1012401019955","529","E&Gクリエイツ","株式会社イー・アンド・ジークリエイツ","http://eandgcreates.com"
"9011101029027","529","日本ヴォーグ社","株式会社日本ヴォーグ社","https://www.nihonvogue.co.jp/ja/"
"2010401022607","531","日本教文社","株式会社日本教文社","https://www.kyobunsha.jp"
NA,"532","_日経BP 日本経済新聞出版社本部",NA,NA
"9010001104435","532","_日本経済新聞出版","株式会社日本経済新聞出版社",NA
"1011101038290","533","JTBパブリッシング","株式会社JTBパブリッシング","https://jtbpublishing.co.jp"
"6120001072814","534","日本実業出版社","株式会社日本実業出版社","https://www.njg.co.jp"
"1013301009369","535","日本評論社","株式会社日本評論社","https://www.nippyo.co.jp"
"7010001033660","537","日本文芸社","株式会社日本文芸社","https://www.nihonbungeisha.co.jp"
"1010001033724","539","日本法令","株式会社日本法令","https://www.horei.co.jp"
"5010405000738","540","農山漁村文化協会","一般社団法人農山漁村文化協会","https://www.ruralnet.or.jp"
"9010405010460","542","日本規格協会","一般財団法人日本規格協会","https://www.jsa.or.jp"
"7010001026887","560","白水社","株式会社白水社","https://www.hakusuisha.co.jp"
"6010001026888","561","白桃書房","株式会社白桃書房","https://www.hakutou.co.jp"
"4011101017663","562","原書房","株式会社原書房","http://www.harashobo.co.jp"
"5120001024989","564","ひかりのくに","ひかりのくに株式会社","https://www.hikarinokuni.co.jp"
"1010001027610","566","評論社","株式会社評論社","https://www.hyoronsha.co.jp"
"5130001011508","569","PHP研究所","株式会社ピーエイチピー研究所","https://www.php.co.jp"
"1010001006903","571","福村出版","福村出版株式会社","https://www.fukumura.co.jp"
"2010401038925","573","ハースト婦人画報社","株式会社ハースト婦人画報社","https://www.hearst.co.jp"
"1011101018672","575","双葉社","株式会社双葉社","https://www.futabasha.co.jp"
"3010001028706","576","二見書房","株式会社二見書房","https://www.futami.co.jp"
"7010901048733","576","EDITORS","株式会社EDITORS","https://editorsinc.jp"
"8010001007003","577","フレーベル館","株式会社フレーベル館","https://www.froebel-kan.co.jp"
"4130001011624","578","文英堂","株式会社文英堂","https://www.bun-eido.co.jp"
"3011005000386","579","文化学園 文化出版局","学校法人文化学園","https://books.bunka.ac.jp"
"7010001136661","580","文研出版","文研出版販売株式会社","https://www.shinko-keirin.co.jp/bunken/"
"9010001028766","583","ベースボール・マガジン社","株式会社ベースボールマガジン社","https://www.bbm-japan.com"
"5013301017748","584","ベストセラーズ","株式会社ベストセラーズ","https://www.bestsellers.co.jp"
"6010001028793","585","勉誠出版","勉誠出版株式会社","https://bensei.jp/index.php?main_page=index"
"3010005003366","588","法政大学出版局","一般財団法人法政大学出版局","https://www.h-up.com"
"8130001005424","589","法律文化社","株式会社法律文化社","https://www.hou-bun.com"
"7011101019789","591","ポプラ社","株式会社ポプラ社","https://www.poplar.co.jp"
"3010001026890","592","白泉社","株式会社白泉社","https://www.hakusensha.co.jp"
"8010001131744","593","ほるぷ出版","株式会社ほるぷ出版","https://www.holp-pub.co.jp"
"3010001026718","8335","ハーパーコリンズ・ジャパン","株式会社ハーパーコリンズ・ジャパン","https://www.harpercollins.co.jp"
"3010001026718","596","ハーパーコリンズ・ジャパン","株式会社ハーパーコリンズ・ジャパン","https://www.harpercollins.co.jp"
"4010001158502","620","毎日新聞出版","毎日新聞出版株式会社","https://mainichibooks.com"
"2010001137937","621","丸善出版","丸善出版株式会社","https://www.maruzen-publishing.co.jp"
"9010001007605","622","みすず書房","株式会社みすず書房","https://www.msz.co.jp"
"5010001007724","624","未來社","株式会社未来社","http://www.miraisha.co.jp/np/index.html"
"7010001030864","627","森北出版","森北出版株式会社","https://www.morikita.co.jp"
"5010001030998","634","山川出版社","株式会社山川出版社","https://www.yamakawa.co.jp"
"4010001126351","635","山と溪谷社","株式会社山と溪谷社","https://www.yamakei.co.jp"
"8011001052534","636","ヤマハミュージックエンタテインメントホールディングス","株式会社ヤマハミュージックエンタテインメントホールディングス","https://www.yamaha-meh.co.jp"
"9010001077623","639","雄山閣","株式会社雄山閣","https://www.yuzankaku.co.jp"
"8010001031300","641","有斐閣","株式会社有斐閣","http://www.yuhikaku.co.jp"
"5010001008193","642","吉川弘文館","株式会社吉川弘文館","http://www.yoshikawa-k.co.jp"
"6010701039470","651","ワン・パブリッシング","株式会社ワン・パブリッシング","https://one-publishing.co.jp"
"4010001137084","652","理論社","株式会社理論社","https://www.rironsha.com"
"8130001007610","653","臨川書店","株式会社臨川書店","http://www.rinsen.com"
"1180001041958","654","黎明書房","株式会社黎明書房","http://www.reimei-shobo.com"
"6011101022315","657","早稲田大学出版部","株式会社早稲田大学出版部","http://www.waseda-up.co.jp"
"4010401087739","8227","日経BPマーケティング","株式会社日経BPマーケティング","https://www.nikkeibpm.co.jp"
"5010001022070","88063","宝島社","株式会社宝島社","https://tkj.jp"
"5010001022070","7966","宝島社","株式会社宝島社","https://tkj.jp"
"5010001022070","8002","宝島社","株式会社宝島社","https://tkj.jp"
"5010001022070","299","宝島社","株式会社宝島社","https://tkj.jp"
"2011001033779","939015","ポット出版","株式会社スタジオ・ポット","https://www.pot.co.jp"
"2011001033779","7808","ポット出版","株式会社スタジオ・ポット","https://www.pot.co.jp"
"7010001137742","8276","ぱるす出版","ぱるす出版株式会社","http://www.pulse-p.co.jp"
NA,"9912385","南方書局",NA,"http://nanfangshuchu.com"
"7011001118204","9910221","百万年書房","株式会社百万年書房","http://millionyearsbookstore.com"
"7011001118204","910053","百万年書房","株式会社百万年書房","http://millionyearsbookstore.com"
"2011102017144","939076","ベレ出版","有限会社ベレ出版","https://www.beret.co.jp"
"2011102017144","86064","ベレ出版","有限会社ベレ出版","https://www.beret.co.jp"
NA,"9911096","丸竹書房",NA,"https://marutakesyobou.com"
"7010001022093","88475","竹書房","株式会社竹書房","https://www.takeshobo.co.jp/index"
"7010001022093","8124","竹書房","株式会社竹書房","https://www.takeshobo.co.jp/index"
"7010001022093","8019","竹書房","株式会社竹書房","https://www.takeshobo.co.jp/index"
"4010001009069","7505","亜紀書房","株式会社亜紀書房","https://www.akishobo.com"
"3010401081858","7511","旭屋出版","株式会社旭屋出版","https://asahiya-jp.com"
"5011101000833","7515","あすなろ書房","株式会社あすなろ書房","http://www.asunaroshobo.co.jp/home/index.html"
"7010001000479","7520","アリス館","株式会社アリス館","http://www.alicekan.com"
"4010001082074","7522","飯塚書店","株式会社飯塚書店","http://www.izbooks.co.jp"
"2130001022243","7538","芸艸堂","美術書出版株式会社芸艸堂","https://www.unsodo.net/jp/"
"2010001012727","7539","エール出版社","株式会社エール出版社","http://www.yell-books.com"
"4010005016648","7547","大蔵財務協会","一般財団法人大蔵財務協会","https://www.zaikyo.or.jp"
"6013301031129","7562","パイインターナショナル","株式会社パイインターナショナル","https://pie.co.jp"
"6010001000488","7566","ありな書房","株式会社ありな書房","https://arina223.wixsite.com/mysite"
"5010002000240","87030","明日香出版社","有限会社明日香出版社","https://www.asuka-g.co.jp"
"5010002000240","7569","明日香出版社","有限会社明日香出版社","https://www.asuka-g.co.jp"
"6010001143378","7574","株式会社アルク","株式会社アルク","https://www.alc.co.jp"
"6011101021003","89553","メジカルビュー社","株式会社メジカルビュー社","https://www.medicalview.co.jp"
"6011101021003","7583","メジカルビュー社","株式会社メジカルビュー社","https://www.medicalview.co.jp"
"5120001037669","7592","解放出版社","株式会社解放出版社","https://www.kaihou-s.com"
"7010001005222","7598","化学同人","株式会社化学同人","https://www.kagakudojin.co.jp"
"3010001014227","7612","かんき出版","株式会社かんき出版","https://kanki-pub.co.jp"
"9013201001369","7620","学文社","株式会社学文社","https://www.gakubunsha.com"
"9010401008260","7641","共同通信社","株式会社共同通信社","https://www.kyodo.co.jp"
"4010001041864","7642","教文館","株式会社教文館","https://www.kyobunkwan.co.jp"
"1011101068544","7646","錦正社","株式会社錦正社","https://kinseisha.jp"
"9011201001315","7650","近代セールス社","株式会社近代セールス社","https://www.kindai-sales.co.jp"
"9011301002114","7661","グラフィック社","株式会社グラフィック社","http://www.graphicsha.co.jp"
"3011101006114","7668","経済法令研究会","株式会社経済法令研究会","https://www.khk.co.jp"
"6010001076421","7672","啓佑社","株式会社啓佑社","http://www.keiyu-sha.co.jp"
"1010401009456","7678","エクスナレッジ","株式会社エクスナレッジ","https://www.xknowledge.co.jp/home"
"2010001015507","7684","現代書館","株式会社現代書館","http://www.gendaishokan.co.jp"
"3010401076602","7690","好学社","株式会社好学社","http://www.kogakusha.com"
"7010001121003","7692","工学図書","工学図書株式会社","http://www.kougakutosho.co.jp"
"2120001005298","7703","弘文社","株式会社弘文社","http://www.kobunsha.org"
"7010001002715","7721","こぐま社","株式会社こぐま社","https://www.kogumasha.co.jp"
"7011101006325","905924","現代書林","株式会社現代書林","http://www.gendaishorin.co.jp"
"7011101006325","87620","現代書林","株式会社現代書林","http://www.gendaishorin.co.jp"
"7011101006325","7745","現代書林","株式会社現代書林","http://www.gendaishorin.co.jp"
"8013201015428","900780","オークラ出版","株式会社オークラ出版","https://www.oakla.com"
"8013201015428","87278","オークラ出版","株式会社オークラ出版","https://www.oakla.com"
"8013201015428","7755","オークラ出版","株式会社オークラ出版","https://www.oakla.com"
"9011101027204","916115","彩文館出版","株式会社彩文館出版","https://www.saibunkan.co.jp"
"9011101027204","7756","彩文館出版","株式会社彩文館出版","https://www.saibunkan.co.jp"
"5010401078010","7762","アスコム","株式会社アスコム","https://www.ascom-inc.jp"
"1011101023136","900416","太田出版","株式会社太田出版","https://www.ohtabooks.com"
"1011101023136","87233","太田出版","株式会社太田出版","https://www.ohtabooks.com"
"1011101023136","7783","太田出版","株式会社太田出版","https://www.ohtabooks.com"
"9013201005378","89384","北樹出版","株式会社北樹出版","http://www.hokuju.jp"
"9013201005378","7793","北樹出版","株式会社北樹出版","http://www.hokuju.jp"
"3130001006971","88848","ナカニシヤ出版","株式会社ナカニシヤ出版","http://www.nakanishiya.co.jp"
"3130001006971","7795","ナカニシヤ出版","株式会社ナカニシヤ出版","http://www.nakanishiya.co.jp"
"6011101007349","87904","三栄書房","株式会社三栄","https://www.sun-a.com"
"6011101007349","7796","三栄書房","株式会社三栄","https://www.sun-a.com"
"7010001015072","87417","クインテッセンス出版","クインテツセンス出版株式会社","https://www.quint-j.co.jp"
"7010001015072","7812","クインテッセンス出版","クインテツセンス出版株式会社","https://www.quint-j.co.jp"
"7010001019362","88231","シーエムシー出版","株式会社シーエムシー出版","https://www.cmcbooks.co.jp"
"7010001019362","7813","シーエムシー出版","株式会社シーエムシー出版","https://www.cmcbooks.co.jp"
"2011001124867","7829","サンライズパブリッシング","サンライズパブリッシング株式会社","https://sunrise-publishing.com"
"6010002010065","7829","三恵書房","株式会社三恵書房","http://www.sankei-shobo.co.jp"
"7010001003787","7845","社会評論社","株式会社社会評論社","https://www.shahyo.com"
"7011101010946","7923","成文堂","株式会社成文堂","http://www.seibundoh.co.jp"
"9010001020855","7931","税務研究会出版局","株式会社税務研究会","https://www.zeiken.co.jp"
"5011002005519","7834","至光社","有限会社至光社","https://www.shiko-sha.co.jp"
"7010001003960","7902","鈴木出版","鈴木出版株式会社","http://www.suzuki-syuppan.co.jp"
NA,"7924","清文堂出版",NA,"https://seibundo-pb.co.jp"
"2011301017960","88261","信山社出版","信山社出版株式会社","https://www.shinzansha.co.jp"
